question_number,pipeline,correct,quote,source,paper_reference,fuzz_score,source_text_for_judge,faithfulness_score,faithfulness_reasoning
18.0,Dense RAG,True,"our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4","CEPE … is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG
or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",44.14414414414415,"the KV cache to reduce memory requirements for long-context applications. However, this approach only
decreases KV cache memory usage, does not improve time-to-first-token latency, and requires training the
model from scratch. Yoshida et al. (2021) extended this idea by employing recursive context compression,
generating a summary hidden state for each chunk to inform the next chunk’s computation. The recursive
nature, however, prevents pre-computation and reuse of chunk embeddings, and does not reduce decoding
latency. Chevalier et al. (2023) proposed recursive compression for documents, using compressed embeddings
for prediction, similar to our method. However, their sequential compression process results in high latency
when the summary vector is not cached, and their approach only supports applications where the summary
token is restricted to the prefix of the language model (e.g., RAG), limiting applicability. In contrast, our",0.0,"The quote is not present in the provided source text. The source text ends with 'In contrast, our', and the quote begins with 'our approach enables...', indicating it is a continuation that is missing from the given source."
19.0,Dense RAG,True,"At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.","2509.01092v2.pdf, Page: 7","With a weak retriever setting, at 10 passages, REFRAG improves performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA. At equal latency
(8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.",100.0,"that most tasks still benefit from more passages in our model. Figure 4 shows the performance averaged
over all 16 tasks in table 3 for both strong retriever and weak retriever setting. The result demonstrates that
under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong
retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model
enables larger context and hence enables extract more useful information when the retrieved passages are less
relevant. Under equivalent latency constraints,REFRAGconsistently outperform LLaMA on both settings
as the saved context can be reinvested to include additional information within the same latency budget.
Figure 4 compares the performance ofREFRAGand the LLaMA model under two conditions: 1) an equal
number of retrieved passages, and 2) equal latency, for both strong and weak retriever settings.With a strong",0.2,"The source text discusses the comparison between REFRAG and LLaMA under 'equivalent latency constraints' and mentions 'performance averaged over all 16 tasks'. It also states that REFRAG 'consistently outperform LLaMA' under these conditions. However, the specific numerical details provided in the quote, such as '(8 passages for REFRAG vs. 1 for LLaMA)' and 'achieves a 1.93% average gain', are not present in the provided source text. While the general context is mentioned, the core specific data points of the quote are not supported verbatim or near-verbatim by the source."
20.0,Dense RAG,True,The input context is chunked and processed by the light-weight encoder to produce chunk embeddings... These chunk embeddings along with the token embeddings of the question input are fed to the decoder.,"2509.01092v2.pdf, Page: 2","By exploiting this attention sparsity structure, we demonstrate a 30.85× the time-to-first-token acceleration … In addition, our optimization framework for
large context enables REFRAG to extend the context size of LLMs by 16×. We provide rigorous validation of REFRAG across diverse long-context tasks.",45.97701149425287,"Donald Trump is 
the President of 
the United States. 
He assumed office 
on January 20, 
2025, making
him the 47th 
President of the 
United States.
 Encoder  Encoder  Encoder
Context Text
Decoder-only Foundation ModelSequence
Precomputable
Light-weight
EncoderWho is the President of USA?
Decoder Tokenizer & 
Embedding
Decoder Input Text
Token Embedding
Chunk 
Embedding
Light-weight RL-trained chunk expansion policy
Vector DBQuery 
Encoder
Figure 1The main design ofREFRAG. The input context is chunked and processed by the light-weight encoder to
produce chunk embeddings, which are precomputable for efficient reuse. A light-weight RL policy decide few chunks to
expand. These chunk embeddings along with the token embeddings of the question input are fed to the decoder.
token embedding for tokenxi. In real applications (e.g., RAG), the context is the dominating part of the
input (i.e., s≫q ) and hence the overall input to the decoder will be reduced by a factor of≃k . This",0.95,"The quote is a near-verbatim extraction from the source text. The first part, 'The input context is chunked and processed by the light-weight encoder to produce chunk embeddings', is found verbatim. The second part, 'These chunk embeddings along with the token embeddings of the question input are fed to the decoder', is also found verbatim. The ellipsis '...' correctly indicates that some text was omitted between these two phrases in the original source text."
21.0,Dense RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,"Instead of using tokens from retrieved
passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context.",100.0,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text. It perfectly matches the third advantage listed in the source: '3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.'"
22.0,Dense RAG,True,"For longer context length, acceleration reaches up tok2× for both metrics.","2509.01092v2.pdf, Page: 2","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for both
metrics.",97.2972972972973,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",0.95,"The quote is a near-verbatim extraction from the source text. The source states: 'With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.' The quote rephrases 'With longer context lengths' to 'For longer context length', 'we are able to achieve' to 'acceleration reaches', and 'in both TTFT and throughput' to 'for both metrics'. Despite these minor rephrasing, the core information and numerical value (k2x acceleration for both metrics under longer context) are accurately preserved and fully supported by the source."
23.0,Dense RAG,True,These results further highlight the effectiveness of the RL-trained policy and underscore the practicality of dynamically adjusting the compression rate without compromising performance.,"2509.01092v2.pdf, Page: 6","Unlike prior methods (Yen et al., 2024), REFRAG supports compression of token chunks at
arbitrary positions (see figure 1) while preserving the autoregressive nature of the decoder, thereby supporting
multi-turn and agentic applications. This “compress anywhere” capability is further enhanced by a lightweight
reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary
and when low-cost, approximate chunk embeddings suffice .",48.38709677419355,"chunk embeddings, yet still surpasses the performance ofREFRAG8. These results further highlight the
effectiveness of the RL-trained policy and underscore the practicality of dynamically adjusting the compression
rate without compromising performance.
REFRAG trained under different compression rates.Figure 10 illustrates the training trajectory ofREFRAG
under different compression rates in the continual pre-training task. We observe a performance regression as
the compression rate increases; however, even at a compression rate of32, our model remains competitive
(as shown in table 1). In contrast, a compression rate of64appears to be overly aggressive, resulting in
diminished performance. These findings suggest a practical limit to the compression rate beyond which the
model’s capability is significantly reduced.
Different combinations of encoder and decoder models for REFRAG.We employ LLaMA-2-7B and LLaMA-2-13B",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
24.0,Dense RAG,True,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.",filename: 2509.01092v2.pdf page 3,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with
minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the
decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.",99.8158379373849,"next-paragraph prediction, thereby equipping it for downstream applications. The objective is to align any
encoder–decoder combination so that the generations produced withcompressed contextclosely resemble
those generated by the original decoder with access to the full context.
3.1 Continual Pre-training Recipe
To ensure the success of the CPT phase, we propose a training recipe that incorporates a reconstruction task
and a curriculum learning approach. Ablation studies in section 4 demonstrate thatthis recipeiscrucialfor
achieving strong CPT performance.
Reconstruction task.We input the firsts tokens x1:s to the encoder and learn to reconstruct tokensx1:s in
the decoder. In this task, wefreeze the decoder model and only train the encoder and projection layer. The
main objectives are to align the encoder and projection layer so that: 1) encoder can compressk tokens with
minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the",0.7,"The quote begins as a verbatim extraction from the source text. However, the source text ends abruptly with 'into the', while the quote continues and completes the sentence with additional information: 'decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.' This latter part of the quote is not present in the provided source text, making the quote not fully supported or verbatim."
25.0,Dense RAG,True,Reward = - Log(Perplexity),"2509.01092v2.pdf, Page: 17","Selective compression REFRAG introduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as
a negative reward, determines which chunks to retain in their original form. The encoder and decoder are
fine-tuned to handle mixed inputs of compressed and uncompressed chunks.",57.692307692307686,"embeddings {ci}L
i=1 as transformer input and do not recompute logitssi after each selection, as state changes
have minimal impact and this improves training speed.
We use GRPO (Shao et al., 2024) style baseline to use grouped reward as baseline to reduce variance and to
minimize contamination across different segment prediction task. Specifically, for eachx we randomly select
Gnumber of lengthT ′ action sequences{l (i)}G
i=1 . We have the following objective:
Jθ = 1
G
PG
i=1 E x∼P(X),
{l(i)}G
i=1∼πθ([L]|x)
1
T′
PT′
t=1 min

πθ(l(i)
t |x,{l(i)
j }t−1
j=1)
πθold(l(i)
t |x,{l(i)
j }t−1
j=1)A(i)
t ,clip

πθ(l(i)
t |x,{l(i)
j }t−1
j=1)
πθold(l(i)
t |x,{l(i)
j }t−1
j=1),1−ϵ,1 +ϵ

A(i)
t

(1)
where ϵ is the clipping hyperparameter in PPO (Schulman et al., 2017) for stable training,θ is the current
policy andθold is the policy fro the previous iteration,At is the advantage function. We define our advantage
function using the negative log-perplexity on theotokens xs+1:s+o:
ri =r
",0.35,"The source text states: 'We define our advantage function using the negative log-perplexity on theotokens xs+1:s+o: ri =r'. The quote, however, states: 'Reward = - Log(Perplexity)'. The source explicitly defines the *advantage function* using negative log-perplexity, not the *reward*. While reward and advantage function are related in reinforcement learning, they are distinct concepts. The quote is neither a verbatim nor a near-verbatim extraction and misattributes the definition from the advantage function to the reward."
26.0,Dense RAG,True,"Empirically, as shown in figure 2, with a context length of 16384 (mid-to-long context), REFRAG with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache1...","2509.01092v2.pdf, Page: 2","Empirically, as shown in figure 2, with a context length of 16384 (mid-to-long context), REFRAG
with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache1, both surpassing
CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared
to CEPE (table 1).",98.59943977591035,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",0.85,"The quote accurately extracts most of the numerical data and conditions regarding REFRAG's acceleration (context length, TTFT acceleration with/without cache). However, there are two main deviations from a verbatim or near-verbatim extraction: 
1. The beginning 'Empirically, as shown in figure 2,' is a rephrasing of the source's introduction to Figure 2 ('Figure 2 shows the empirical measurement...').
2. The quote adds 'with k = 16' which is not explicitly stated in the provided source text in direct relation to the '16.53× acceleration'. While 'k' is mentioned as a variable earlier in the source, the specific value '16' is an addition of information not directly supported by the provided text snippet for this specific empirical result. This addition prevents it from being considered near-verbatim."
27.0,Dense RAG,True,"At equal latency (8 passages forREFRAGvs. 1 for LLaMA),REFRAGattains a1.22%
average improvement across 16 RAG tasks.",filename: 2509.01092v2.pdf page 7,"With a strong retriever and a maximum of 10 passages, REFRAG matches LLaMA’s performance while achieving a 5.26×
speedup in TTFT. At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22%
average improvement across 16 RAG tasks. With a weak retriever setting, at 10 passages, REFRAG improves
performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA.",95.6896551724138,"0 100 101 102
Number of Passages
50
52
54
56
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
50
52
54
56
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
0 100 101 102
Number of Passages
52
54
Performance
Performance vs. Retrieved Passages
0 100 101 102 103
Input Length (Latency)
52
54
Performance
Performance vs. Latency
Llama REFRAG 8 ×  compression
Figure 4RAG performance comparison under a strong retriever scenario (left) and a weak retriever scenario and a
strong retriever scenario (right).REFRAGperform similarly to LLaMA model under the same retrieved passages
(slightly better in a weaker retriever case) while outperform significantly under the same latency.
This finding is particularly surprising, asREFRAG16 achieves a compression rate of8without recomputing
chunk embeddings, yet still surpasses the performance ofREFRAG8. These results further highlight the",0.25,"The source text states that 'REFRAG... outperform significantly under the same latency,' which aligns with the general premise of the quote regarding REFRAG's performance at equal latency. However, all the specific numerical details in the quote, such as '(8 passages for REFRAG vs. 1 for LLaMA)', 'a 1.22% average improvement', and 'across 16 RAG tasks', are not present anywhere in the provided source text. Therefore, the quote is not a verbatim or near-verbatim extraction and introduces significant new information not supported by the source."
28.0,Dense RAG,True,"The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via chunk embeddings, extending context and supporting broader applications.","2509.01092v2.pdf, Page: 4","For reference, LLaMA256 uses only the last 256 tokens, matching the number of chunk
embeddings in REFRAG8 (s/k = 256), yet REFRAG8 consistently surpasses LLaMA256, demonstrating
the effectiveness of compressed chunk embeddings.",45.51282051282052,"Table 2 evaluateso = 2048with extended context lengthss∈ {4096, 8192, 16384}. Although our model is
trained ons + o = 6144, bothREFRAG8 and REFRAG16 maintain superior performance at longer contexts.
The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.
With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across
four datasets2. Meanwhile, our method is16.53× faster than LLaMA in TTFT and2.01× faster than CEPE
(section B.4). At a compression rate of32, our log-perplexity matches CEPE, while TTFT acceleration
increases to30.85×over LLaMA and3.75×over CEPE.
Figure 3 presents the performance of various methods for selective compression. We expandp fraction of the
chunks in the original token space using the RL policy. The effective compression ratek
1−p+kp decreases when",1.0,"The quote is an exact, verbatim sentence extracted directly from the source text."
29.0,Dense RAG,True,"In contrast, a compression rate of 64 appears to be overly aggressive, resulting in diminished performance. These findings suggest a practical limit to the compression rate beyond which the model’s capability is significantly reduced.",filename: 2509.01092v2.pdf page 6,"We observe a performance regression as
the compression rate increases; however, even at a compression rate of 32, our model remains competitive
(as shown in table 1). In contrast, a compression rate of 64 appears to be overly aggressive, resulting in
diminished performance. These findings suggest a practical limit to the compression rate beyond which the
model’s capability is significantly reduced.",100.0,"chunk embeddings, yet still surpasses the performance ofREFRAG8. These results further highlight the
effectiveness of the RL-trained policy and underscore the practicality of dynamically adjusting the compression
rate without compromising performance.
REFRAG trained under different compression rates.Figure 10 illustrates the training trajectory ofREFRAG
under different compression rates in the continual pre-training task. We observe a performance regression as
the compression rate increases; however, even at a compression rate of32, our model remains competitive
(as shown in table 1). In contrast, a compression rate of64appears to be overly aggressive, resulting in
diminished performance. These findings suggest a practical limit to the compression rate beyond which the
model’s capability is significantly reduced.
Different combinations of encoder and decoder models for REFRAG.We employ LLaMA-2-7B and LLaMA-2-13B",0.99,"The quote is an almost verbatim extraction from the source text. The only minor difference is the presence of a space between 'of' and '64' in the quote, which is absent in the source text ('of64'). This is a negligible formatting difference that does not alter the content or meaning."
30.0,Dense RAG,True,"Instead of using tokens from retrieved passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder.","2509.01092v2.pdf, Page: 1","The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.",45.76271186440678,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim sentence extracted from the source text. It begins with 'Instead of using tokens...' and ends with '...directly into the decoder.'"
31.0,Dense RAG,True,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",filename: 2509.01092v2.pdf page 1,"This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",100.0,"in RAG.REFRAGsignificantly reduces latency, TTFT, and memory usage during decoding, allwithout
requiring modificationsto the LLM architecture or introducing new decoder parameters.
REFRAGmakes several novel modifications to the decoding process: Instead of using tokens from retrieved
passages as input,REFRAGleverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context. Unlike prior methods (Yen et al., 2024),REFRAGsupports compression of token chunks at",1.0,"The quote is an exact, verbatim sentence extracted from the source text. It corresponds to the third advantage listed in the source text: '3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.'"
32.0,Dense RAG,True,"Table 6 shows that with short context length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput.","2509.01092v2.pdf, Page: 15","Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput.
For longer context length, acceleration reaches up to k2× for both metrics.",75.37993920972644,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",1.0,"The quote is an exact, verbatim extraction from the source text. It matches the sentence starting with 'Table 6 shows that...' and ending with '...in both TTFT and throughput.' perfectly."
33.0,Dense RAG,True,"Under the context length of 16384 (i.e., mid-to-long context), REFRAG achieves 16.53× acceleration in TTFT with cache and 8.59× without cache.",filename: 2509.01092v2.pdf page 15,"With a context length of 16384 (mid-to-long context), REFRAG with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache, both surpassing CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared to CEPE (table 1).",84.80565371024736,"number of tokens that are generated from the system in a unit time. Table 6 shows that with short context
length s we are able to achievek× acceleration in TTFT and up tok× acceleration in throughput. With
longer context lengths, we are able to achieve up tok2× acceleration in both TTFT and throughput. The
details on the latency and throughput calculation are in section B.4.
Empirical verification of latency/throughput improvement.Figure 2 shows the empirical measurement of
the acceleration ofREFRAGcompared with CEPE, a previous work that achieves significant acceleration
in inference (Yen et al., 2024). Under the context length of16384(i.e., mid-to-long context),REFRAG
achieves16 .53× acceleration in TTFT with cache and8.59× without cache. Both higher than CEPE (i.e.,
2.01× and1 .04× acceleration respectively) while having better model performance (see table 1). With longer
context, we are able to achieve up to32.99× acceleration in TTFT. The reason why we get such acceleration",0.95,"The quote is a near-verbatim extraction from the source text. All the words and numerical values are identical. The only differences are minor variations in spacing and line breaks (e.g., 'of16384(' in source vs 'of 16384 (' in quote, 'REFRAG\nachieves' vs 'REFRAG achieves', '16 .53×' vs '16.53×', 'and8.59×' vs 'and 8.59×'). These are common formatting differences that do not alter the meaning or content."
34.0,Dense RAG,False,No quote provided,,"In this task, we freeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",0.0,"Sebastian Borgeaud, Arthur Mensch, Jordan Hoffmann, Trevor Cai, Eliza Rutherford, Katie Millican, George Bm
Van Den Driessche, Jean-Baptiste Lespiau, Bogdan Damoc, Aidan Clark, Diego De Las Casas, Aurelia Guy, Jacob
Menick, Roman Ring, Tom Hennigan, Saffron Huang, Loren Maggiore, Chris Jones, Albin Cassirer, Andy Brock,
Michela Paganini, Geoffrey Irving, Oriol Vinyals, Simon Osindero, Karen Simonyan, Jack Rae, Erich Elsen, and
Laurent Sifre. Improving language models by retrieving from trillions of tokens. In Kamalika Chaudhuri, Stefanie
Jegelka, Le Song, Csaba Szepesvari, Gang Niu, and Sivan Sabato, editors,Proceedings of the 39th International
Conference on Machine Learning, volume 162 ofProceedings of Machine Learning Research, pages 2206–2240. PMLR,
17–23 Jul 2022.https://proceedings.mlr.press/v162/borgeaud22a.html.
Alexis Chevalier, Alexander Wettig, Anirudh Ajith, and Danqi Chen. Adapting language models to compress contexts.",0.0,No quote provided by the LLM.
35.0,Dense RAG,True,"For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embeddingc1 for x1:k and and the decoder reconstructs thek tokens using the projected chunk embeddingecnk 1 . Subsequently, the model reconstructs x1:2k frome cnk 1 , ecnk 2 , and so forth.",filename: 2509.01092v2.pdf page 3,"Curriculum learning incrementally increases task difficulty, enabling the model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embedding c1 for x1:k and the decoder reconstructs the k tokens using the projected chunk embedding. Subsequently, the model reconstructs x1:2k from two chunk embeddings, and so forth. To continuously adjust task difficulty, we vary the data mixture over time, starting with easier tasks and gradually shifting toward more difficult tasks.",93.02325581395348,"within a fixed-length embedding presents a significant challenge. Additionally, reconstructings = k×L tokens
fromLchunk embeddings further compounds the difficulty of the task.
Counterintuitively, directly continuing pre-training of the decoder to utilize encoder outputs did not reduce
perplexity, even for the reconstruction task.To address the optimization challenge, we propose employing
curriculum learning for both tasks. Curriculum learning incrementally increases task difficulty, enabling the
model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with
reconstructing a single chunk: the encoder receives one chunk embeddingc1 for x1:k and and the decoder
reconstructs thek tokens using the projected chunk embeddingecnk
1 . Subsequently, the model reconstructs
x1:2k frome cnk
1 , ecnk
2 , and so forth. To continuously adjust task difficulty, we vary the data mixture over",1.0,"The quote is an exact, verbatim extraction from the source text. Every character matches perfectly."
36.0,Dense RAG,True,"Additionally, an RL policy is trained to do selective compression to further improve the performance which we will defer the discussion to section 2.","2509.01092v2.pdf, Page: 2","A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The encoder and decoder are fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.",46.97986577181208,"the reconstruction task.
Reconstruction task is essential for the model to learn the continual pre-training task.Table 12 shows the
performance of the continual pre-training task with and without initialization from the reconstruction task.
The results indicate that pre-training on the reconstruction task is important for the success of continual
pre-training.
Advantages of RL-based selective compression.Figure 3 under various compression rates, achieved by varying
the number of chunks to compress (i.e., adjustingp). Notably, a compression rate of8can be obtained either
by configuringREFRAG16 to compress the appropriate number of chunks, or by employingREFRAG8
with full compression, which is natively trained at a compression rate of8. This raises a natural question:
does the former approach outperform the latter? Table 13 demonstrates thatREFRAG16 with RL-based
selective compression consistently outperformsREFRAG8 across different datasets and context lengths.
4 8 16
Compression rate",0.05,"The quote is not present in the provided source text. While the source text discusses 'RL-based selective compression' and its performance, the specific sentence 'Additionally, an RL policy is trained to do selective compression to further improve the performance which we will defer the discussion to section 2.' is entirely absent. The quote appears to be a hallucination or an extraction from a different part of the document, as it introduces new information (RL policy training, deferring discussion to section 2) not found in the given text."
37.0,Dense RAG,True,"With a compression rate of 16, we achieve a 9.3% average log-perplexity improvement over CEPE across four datasets2.",filename: 2509.01092v2.pdf page 4,"With a compression rate of 16, we achieve a 9.3% average perplexity improvement over CEPE across four datasets. Meanwhile, our method is 16.53× faster than LLaMA in TTFT and 2.01× faster than CEPE.",97.79735682819384,"Table 2 evaluateso = 2048with extended context lengthss∈ {4096, 8192, 16384}. Although our model is
trained ons + o = 6144, bothREFRAG8 and REFRAG16 maintain superior performance at longer contexts.
The original Llama-2-7B supports only a4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.
With a compression rate of16, we achieve a9.3%average log-perplexity improvement over CEPE across
four datasets2. Meanwhile, our method is16.53× faster than LLaMA in TTFT and2.01× faster than CEPE
(section B.4). At a compression rate of32, our log-perplexity matches CEPE, while TTFT acceleration
increases to30.85×over LLaMA and3.75×over CEPE.
Figure 3 presents the performance of various methods for selective compression. We expandp fraction of the
chunks in the original token space using the RL policy. The effective compression ratek
1−p+kp decreases when",1.0,"The quote is an exact sentence from the source text. The only difference is the addition of spaces around the numbers '16' and '9.3%', which is a trivial formatting change and does not alter the content or meaning."
38.0,Dense RAG,False,"Not applicable, as no supporting evidence was found in the context.",Not applicable.,We use the SlimPajama dataset… We only use the Book and ArXiv domains from the dataset since these two domains contain long texts. We sampled from this dataset to construct a 20B token training dataset which contains 50% data from Arxiv and 50% data from Book.,46.26865671641791,"3Note that the implementation of our exact match is stricter than other works. We follow the work of Lin et al. (2024) to use
the stricter version and hence the reported numbers are lower in general.
8",0.0,"The quote 'Not applicable, as no supporting evidence was found in the context.' is completely unrelated to the provided source text. It is not present in the source text in any form, verbatim or near-verbatim. The quote appears to be a meta-commentary rather than an extraction from the source."
